States/UTs,Rank,Overall Development Score,Education Score,Digital Inclusion Score,Infrastructure Score,Health Score,Strongest Dimension,Weakest Dimension,Development Gap
Goa,1,88.84,88.69,92.19,92.4,82.07,Infrastructure Score,Health Score,10.33
Lakshadweep,2,83.3,94.61,75.62,77.03,85.93,Education Score,Digital Inclusion Score,18.99
Kerala,3,82.78,95.22,77.25,82.93,75.74,Education Score,Health Score,19.48
Puducherry,4,80.93,81.45,78.46,90.78,73.02,Infrastructure Score,Health Score,17.76
Chandigarh,5,77.59,69.29,85.7,91.25,64.1,Infrastructure Score,Health Score,27.15
Sikkim,6,73.0,61.21,89.19,77.19,64.42,Digital Inclusion Score,Education Score,27.97
NCT of Delhi,7,71.71,65.79,76.84,91.04,53.17,Infrastructure Score,Health Score,37.88
Mizoram,8,71.68,67.18,80.8,82.91,55.82,Infrastructure Score,Health Score,27.09
Tamil Nadu,9,70.53,65.37,57.27,78.83,80.65,Health Score,Digital Inclusion Score,23.38
Himachal Pradesh,10,68.33,81.01,60.49,69.12,62.7,Education Score,Digital Inclusion Score,20.52
Punjab,11,63.36,57.87,58.84,83.94,52.78,Infrastructure Score,Health Score,31.16
Jammu & Kashmir,12,61.24,59.71,56.71,67.72,60.84,Infrastructure Score,Digital Inclusion Score,11.01
Ladakh,13,61.07,63.65,65.48,52.9,62.24,Digital Inclusion Score,Infrastructure Score,12.58
Uttarakhand,14,59.17,59.56,50.48,70.56,56.07,Infrastructure Score,Digital Inclusion Score,20.08
Haryana,15,58.2,61.1,44.33,76.33,51.05,Infrastructure Score,Digital Inclusion Score,32.0
Dadra and Nagar Haveli & Daman and Diu,16,57.85,45.68,41.02,72.36,72.32,Infrastructure Score,Digital Inclusion Score,31.34
Andaman & Nicobar Islands,17,56.81,59.13,38.14,77.13,52.86,Infrastructure Score,Digital Inclusion Score,38.99
Karnataka,18,55.58,49.5,36.88,74.42,61.5,Infrastructure Score,Digital Inclusion Score,37.54
Telangana,19,54.5,38.88,27.35,84.66,67.1,Infrastructure Score,Digital Inclusion Score,57.32
Maharastra,20,53.85,62.12,33.63,67.62,52.01,Infrastructure Score,Digital Inclusion Score,33.99
Manipur,21,51.19,64.46,56.98,43.91,39.42,Education Score,Health Score,25.03
Arunachal Pradesh,22,50.15,36.48,62.91,54.36,46.85,Digital Inclusion Score,Education Score,26.43
Rajasthan,23,49.57,35.78,32.55,57.06,72.91,Health Score,Digital Inclusion Score,40.36
Nagaland,24,49.0,56.6,60.3,60.23,18.87,Digital Inclusion Score,Health Score,41.43
Gujarat,25,46.42,39.38,23.82,67.22,55.26,Infrastructure Score,Digital Inclusion Score,43.39
Andhra Pradesh,26,44.73,24.48,11.3,79.61,63.54,Infrastructure Score,Digital Inclusion Score,68.31
India,27,42.87,33.99,27.39,58.82,51.29,Infrastructure Score,Digital Inclusion Score,31.43
Chhattisgarh,28,40.4,33.29,14.52,57.25,56.53,Infrastructure Score,Digital Inclusion Score,42.73
Odisha,29,37.18,28.16,15.65,40.98,63.94,Health Score,Digital Inclusion Score,48.29
Tripura,30,33.2,25.85,13.01,50.56,43.4,Infrastructure Score,Digital Inclusion Score,37.55
Madhya Pradesh,31,32.83,23.04,12.85,46.58,48.87,Health Score,Digital Inclusion Score,36.02
Uttar Pradesh,32,31.93,33.54,22.38,42.32,29.47,Infrastructure Score,Digital Inclusion Score,19.94
Assam,33,30.12,24.95,16.48,29.44,49.6,Health Score,Digital Inclusion Score,33.12
Meghalaya,34,29.92,33.18,26.72,23.13,36.65,Health Score,Infrastructure Score,13.52
Jharkhand,35,29.68,24.12,23.7,25.84,45.04,Health Score,Digital Inclusion Score,21.34
Bihar,36,22.75,9.11,9.16,44.24,28.5,Infrastructure Score,Education Score,35.14
